prompt_id,prompt_type,condition,target_word,best_full_rank__jlens,best_full_rank__logit_lens,mean_candidate_rr__jlens,mean_candidate_rr__logit_lens,mean_target_margin__jlens,mean_target_margin__logit_lens,delta_mean_candidate_rr_j_minus_logit,delta_mean_target_margin_j_minus_logit,delta_best_full_rank_logit_minus_j
direct_test_000,direct,blue,blue,2568.0,7709.0,0.8863636363636364,0.8636363636363636,0.4083806818181818,1.0003481778231533,0.022727272727272707,-0.5919674960049714,5141.0
direct_test_000,direct,gold,gold,2973.0,6273.0,0.5454545454545454,0.5227272727272727,-0.7350852272727273,-1.1633411754261365,0.022727272727272707,0.42825594815340917,3300.0
direct_test_001,direct,gold,gold,367.0,13251.0,0.9772727272727273,0.6590909090909091,0.8565340909090909,-0.31461958451704547,0.31818181818181823,1.1711536754261365,12884.0
direct_test_002,direct,gold,gold,3.0,15.0,1.0,0.7045454545454546,2.350852272727273,0.8000932173295454,0.2954545454545454,1.5507590553977275,12.0
direct_test_003,direct,blue,blue,5592.0,4843.0,1.0,1.0,1.1867897727272727,1.1679576526988635,0.0,0.01883212002840917,-749.0
direct_test_003,direct,gold,gold,6494.0,10836.0,0.7045454545454546,0.5909090909090909,-0.10138494318181818,-0.47027726606889203,0.11363636363636365,0.36889232288707385,4342.0
direct_test_004,direct,blue,blue,217.0,399.0,1.0,1.0,2.412020596590909,2.1448577534068716,0.0,0.2671628431840376,182.0
direct_test_004,direct,gold,gold,984.0,4063.0,0.9318181818181818,0.6818181818181818,1.0387073863636365,-0.18194025213068182,0.25,1.2206476384943183,3079.0
standard_test_000,standard,blue,blue,302.0,1741.0,0.9772727272727273,1.0,1.3274147727272727,1.6111699884588069,-0.022727272727272707,-0.28375521573153417,1439.0
standard_test_000,standard,gold,gold,167.0,3163.0,1.0,0.8181818181818182,2.9801136363636362,0.9303949529474432,0.18181818181818177,2.049718683416193,2996.0
standard_test_001,standard,blue,blue,594.0,2317.0,1.0,0.9318181818181818,1.7286931818181819,1.4312577681107954,0.06818181818181823,0.29743541370738646,1723.0
standard_test_001,standard,gold,gold,219.0,3876.0,1.0,0.8181818181818182,2.6772017045454546,0.9479758522727273,0.18181818181818177,1.7292258522727273,3657.0
standard_test_002,standard,blue,blue,511.0,3635.0,1.0,0.9772727272727273,1.5234375,1.7481134588068181,0.022727272727272707,-0.22467595880681812,3124.0
standard_test_002,standard,gold,gold,39.0,570.0,1.0,0.7954545454545454,3.4943181818181817,1.2741810191761365,0.20454545454545459,2.220137162642045,531.0
standard_test_003,standard,blue,blue,588.0,7178.0,0.9090909090909091,0.9090909090909091,0.8160511363636364,0.8309437144886364,0.0,-0.014892578125,6590.0
standard_test_003,standard,gold,gold,9.0,81.0,1.0,0.8409090909090909,4.575816761363637,2.411917946555398,0.15909090909090906,2.1638988148082388,72.0
standard_test_004,standard,blue,blue,374.0,6122.0,0.9545454545454546,1.0,1.0326704545454546,1.4603382457386365,-0.045454545454545414,-0.4276677911931819,5748.0
standard_test_004,standard,gold,gold,30.0,137.0,1.0,0.8181818181818182,3.8813920454545454,1.5791515003551135,0.18181818181818177,2.3022405450994317,107.0
